S 68214c,1 tag = 6664, set = 10, block = 6824268 miss 
L 682160,8 tag = 6664, set = 11, block = 6824256 miss 
L 682144,4 tag = 6664, set = 10, block = 6824260 hit 
L 682140,4 tag = 6664, set = 10, block = 6824256 hit 
L 602140,4 tag = 6152, set = 10, block = 6299968 miss eviction 
S 642140,4 tag = 6408, set = 10, block = 6562112 miss eviction 
L 602144,4 tag = 6152, set = 10, block = 6299972 miss eviction 
S 6421c0,4 tag = 6408, set = 14, block = 6562240 miss 
L 602148,4 tag = 6152, set = 10, block = 6299976 hit 
S 642240,4 tag = 6408, set = 18, block = 6562368 miss 
L 60214c,4 tag = 6152, set = 10, block = 6299980 hit 
S 6422c0,4 tag = 6408, set = 22, block = 6562496 miss 
L 602150,4 tag = 6152, set = 10, block = 6299984 hit 
S 642340,4 tag = 6408, set = 26, block = 6562624 miss 
L 602154,4 tag = 6152, set = 10, block = 6299988 hit 
S 6423c0,4 tag = 6408, set = 30, block = 6562752 miss 
L 602158,4 tag = 6152, set = 10, block = 6299992 hit 
S 642440,4 tag = 6409, set = 2, block = 6562880 miss 
L 60215c,4 tag = 6152, set = 10, block = 6299996 hit 
S 6424c0,4 tag = 6409, set = 6, block = 6563008 miss 
L 602160,4 tag = 6152, set = 11, block = 6299968 miss eviction 
S 642540,4 tag = 6409, set = 10, block = 6563136 miss eviction 
L 602164,4 tag = 6152, set = 11, block = 6299972 hit 
S 6425c0,4 tag = 6409, set = 14, block = 6563264 miss eviction 
L 602168,4 tag = 6152, set = 11, block = 6299976 hit 
S 642640,4 tag = 6409, set = 18, block = 6563392 miss eviction 
L 60216c,4 tag = 6152, set = 11, block = 6299980 hit 
S 6426c0,4 tag = 6409, set = 22, block = 6563520 miss eviction 
L 602170,4 tag = 6152, set = 11, block = 6299984 hit 
S 642740,4 tag = 6409, set = 26, block = 6563648 miss eviction 
L 602174,4 tag = 6152, set = 11, block = 6299988 hit 
S 6427c0,4 tag = 6409, set = 30, block = 6563776 miss eviction 
L 602178,4 tag = 6152, set = 11, block = 6299992 hit 
S 642840,4 tag = 6410, set = 2, block = 6563904 miss eviction 
L 60217c,4 tag = 6152, set = 11, block = 6299996 hit 
S 6428c0,4 tag = 6410, set = 6, block = 6564032 miss eviction 
L 602180,4 tag = 6152, set = 12, block = 6300032 miss 
